Ano,SE,cidade,dengue
2000,27,Acrelandia,0
2000,28,Acrelandia,0
2000,29,Acrelandia,0
2000,30,Acrelandia,0
2000,31,Acrelandia,0
2000,32,Acrelandia,0
2000,33,Acrelandia,0
2000,34,Acrelandia,0
2000,35,Acrelandia,0
2000,36,Acrelandia,0
2000,37,Acrelandia,0
2000,38,Acrelandia,0
2000,39,Acrelandia,0
2000,40,Acrelandia,0
2000,41,Acrelandia,0
2000,42,Acrelandia,0
2000,43,Acrelandia,0
2000,44,Acrelandia,0
2000,45,Acrelandia,0
2000,46,Acrelandia,0
2000,47,Acrelandia,0
2000,48,Acrelandia,0
2000,49,Acrelandia,0
2000,50,Acrelandia,0
2000,51,Acrelandia,3
2000,52,Acrelandia,0
2001,1,Acrelandia,0
2001,2,Acrelandia,0
2001,3,Acrelandia,0
2001,4,Acrelandia,0
2001,5,Acrelandia,0
2001,6,Acrelandia,1
2001,7,Acrelandia,0
2001,8,Acrelandia,0
2001,9,Acrelandia,0
2001,10,Acrelandia,0
2001,11,Acrelandia,0
2001,12,Acrelandia,0
2001,13,Acrelandia,0
2001,14,Acrelandia,0
2001,15,Acrelandia,0
2001,16,Acrelandia,0
2001,17,Acrelandia,0
2001,18,Acrelandia,0
2001,19,Acrelandia,0
2001,20,Acrelandia,0
2001,21,Acrelandia,0
2001,22,Acrelandia,0
2001,23,Acrelandia,0
2001,24,Acrelandia,0
2001,25,Acrelandia,0
2001,26,Acrelandia,0
2001,27,Acrelandia,0
2001,28,Acrelandia,0
2001,29,Acrelandia,0
2001,30,Acrelandia,0
2001,31,Acrelandia,0
2001,32,Acrelandia,0
2001,33,Acrelandia,0
2001,34,Acrelandia,0
2001,35,Acrelandia,0
2001,36,Acrelandia,0
2001,37,Acrelandia,0
2001,38,Acrelandia,0
2001,39,Acrelandia,0
2001,40,Acrelandia,0
2001,41,Acrelandia,0
2001,42,Acrelandia,0
2001,43,Acrelandia,0
2001,44,Acrelandia,0
2001,45,Acrelandia,0
2001,46,Acrelandia,0
2001,47,Acrelandia,0
2001,48,Acrelandia,0
2001,49,Acrelandia,0
2001,50,Acrelandia,0
2001,51,Acrelandia,0
2001,52,Acrelandia,0
2002,1,Acrelandia,0
2002,2,Acrelandia,0
2002,3,Acrelandia,0
2002,4,Acrelandia,1
2002,5,Acrelandia,0
2002,6,Acrelandia,0
2002,7,Acrelandia,0
2002,8,Acrelandia,0
2002,9,Acrelandia,0
2002,10,Acrelandia,0
2002,11,Acrelandia,0
2002,12,Acrelandia,0
2002,13,Acrelandia,0
2002,14,Acrelandia,0
2002,15,Acrelandia,0
2002,16,Acrelandia,0
2002,17,Acrelandia,0
2002,18,Acrelandia,0
2002,19,Acrelandia,0
2002,20,Acrelandia,0
2002,21,Acrelandia,0
2002,22,Acrelandia,0
2002,23,Acrelandia,0
2002,24,Acrelandia,0
2002,25,Acrelandia,0
2002,26,Acrelandia,0
2002,27,Acrelandia,0
2002,28,Acrelandia,0
2002,29,Acrelandia,0
2002,30,Acrelandia,0
2002,31,Acrelandia,0
2002,32,Acrelandia,0
2002,33,Acrelandia,0
2002,34,Acrelandia,0
2002,35,Acrelandia,0
2002,36,Acrelandia,0
2002,37,Acrelandia,0
2002,38,Acrelandia,0
2002,39,Acrelandia,0
2002,40,Acrelandia,0
2002,41,Acrelandia,0
2002,42,Acrelandia,0
2002,43,Acrelandia,0
2002,44,Acrelandia,0
2002,45,Acrelandia,0
2002,46,Acrelandia,0
2002,47,Acrelandia,0
2002,48,Acrelandia,0
2002,49,Acrelandia,0
2002,50,Acrelandia,0
2002,51,Acrelandia,0
2002,52,Acrelandia,0
2003,1,Acrelandia,0
2003,2,Acrelandia,0
2003,3,Acrelandia,0
2003,4,Acrelandia,0
2003,5,Acrelandia,0
2003,6,Acrelandia,0
2003,7,Acrelandia,0
2003,8,Acrelandia,0
2003,9,Acrelandia,0
2003,10,Acrelandia,0
2003,11,Acrelandia,0
2003,12,Acrelandia,0
2003,13,Acrelandia,0
2003,14,Acrelandia,0
2003,15,Acrelandia,0
2003,16,Acrelandia,0
2003,17,Acrelandia,0
2003,18,Acrelandia,0
2003,19,Acrelandia,0
2003,20,Acrelandia,0
2003,21,Acrelandia,0
2003,22,Acrelandia,0
2003,23,Acrelandia,0
2003,24,Acrelandia,0
2003,25,Acrelandia,0
2003,26,Acrelandia,0
2003,27,Acrelandia,0
2003,28,Acrelandia,0
2003,29,Acrelandia,0
2003,30,Acrelandia,0
2003,31,Acrelandia,0
2003,32,Acrelandia,0
2003,33,Acrelandia,0
2003,34,Acrelandia,0
2003,35,Acrelandia,0
2003,36,Acrelandia,0
2003,37,Acrelandia,0
2003,38,Acrelandia,0
2003,39,Acrelandia,0
2003,40,Acrelandia,0
2003,41,Acrelandia,0
2003,42,Acrelandia,0
2003,43,Acrelandia,0
2003,44,Acrelandia,0
2003,45,Acrelandia,0
2003,46,Acrelandia,0
2003,47,Acrelandia,0
2003,48,Acrelandia,0
2003,49,Acrelandia,0
2003,50,Acrelandia,0
2003,51,Acrelandia,0
2003,52,Acrelandia,0
2003,53,Acrelandia,0
2004,1,Acrelandia,0
2004,2,Acrelandia,0
2004,3,Acrelandia,0
2004,4,Acrelandia,0
2004,5,Acrelandia,0
2004,6,Acrelandia,0
2004,7,Acrelandia,0
2004,8,Acrelandia,0
2004,9,Acrelandia,0
2004,10,Acrelandia,0
2004,11,Acrelandia,0
2004,12,Acrelandia,0
2004,13,Acrelandia,0
2004,14,Acrelandia,0
2004,15,Acrelandia,0
2004,16,Acrelandia,0
2004,17,Acrelandia,0
2004,18,Acrelandia,0
2004,19,Acrelandia,0
2004,20,Acrelandia,0
2004,21,Acrelandia,0
2004,22,Acrelandia,0
2004,23,Acrelandia,0
2004,24,Acrelandia,0
2004,25,Acrelandia,0
2004,26,Acrelandia,0
2004,27,Acrelandia,0
2004,28,Acrelandia,0
2004,29,Acrelandia,0
2004,30,Acrelandia,0
2004,31,Acrelandia,0
2004,32,Acrelandia,0
2004,33,Acrelandia,0
2004,34,Acrelandia,0
2004,35,Acrelandia,0
2004,36,Acrelandia,0
2004,37,Acrelandia,0
2004,38,Acrelandia,0
2004,39,Acrelandia,0
2004,40,Acrelandia,0
2004,41,Acrelandia,0
2004,42,Acrelandia,0
2004,43,Acrelandia,0
2004,44,Acrelandia,0
2004,45,Acrelandia,0
2004,46,Acrelandia,0
2004,47,Acrelandia,0
2004,48,Acrelandia,0
2004,49,Acrelandia,0
2004,50,Acrelandia,0
2004,51,Acrelandia,0
2004,52,Acrelandia,0
2005,1,Acrelandia,1
2005,2,Acrelandia,1
2005,3,Acrelandia,5
2005,4,Acrelandia,0
2005,5,Acrelandia,1
2005,6,Acrelandia,2
2005,7,Acrelandia,2
2005,8,Acrelandia,6
2005,9,Acrelandia,8
2005,10,Acrelandia,4
2005,11,Acrelandia,3
2005,12,Acrelandia,0
2005,13,Acrelandia,1
2005,14,Acrelandia,0
2005,15,Acrelandia,0
2005,16,Acrelandia,0
2005,17,Acrelandia,0
2005,18,Acrelandia,0
2005,19,Acrelandia,0
2005,20,Acrelandia,0
2005,21,Acrelandia,0
2005,22,Acrelandia,0
2005,23,Acrelandia,0
2005,24,Acrelandia,0
2005,25,Acrelandia,0
2005,26,Acrelandia,0
2005,27,Acrelandia,0
2005,28,Acrelandia,0
2005,29,Acrelandia,0
2005,30,Acrelandia,0
2005,31,Acrelandia,0
2005,32,Acrelandia,0
2005,33,Acrelandia,0
2005,34,Acrelandia,0
2005,35,Acrelandia,0
2005,36,Acrelandia,0
2005,37,Acrelandia,0
2005,38,Acrelandia,0
2005,39,Acrelandia,0
2005,40,Acrelandia,0
2005,41,Acrelandia,0
2005,42,Acrelandia,0
2005,43,Acrelandia,0
2005,44,Acrelandia,0
2005,45,Acrelandia,0
2005,46,Acrelandia,0
2005,47,Acrelandia,0
2005,48,Acrelandia,0
2005,49,Acrelandia,0
2005,50,Acrelandia,0
2005,51,Acrelandia,0
2005,52,Acrelandia,0
2006,1,Acrelandia,0
2006,2,Acrelandia,0
2006,3,Acrelandia,0
2006,4,Acrelandia,0
2006,5,Acrelandia,0
2006,6,Acrelandia,0
2006,7,Acrelandia,0
2006,8,Acrelandia,0
2006,9,Acrelandia,0
2006,10,Acrelandia,0
2006,11,Acrelandia,0
2006,12,Acrelandia,0
2006,13,Acrelandia,0
2006,14,Acrelandia,1
2006,15,Acrelandia,0
2006,16,Acrelandia,0
2006,17,Acrelandia,0
2006,18,Acrelandia,0
2006,19,Acrelandia,0
2006,20,Acrelandia,0
2006,21,Acrelandia,0
2006,22,Acrelandia,0
2006,23,Acrelandia,0
2006,24,Acrelandia,0
2006,25,Acrelandia,0
2006,26,Acrelandia,0
2006,27,Acrelandia,0
2006,28,Acrelandia,0
2006,29,Acrelandia,1
2006,30,Acrelandia,0
2006,31,Acrelandia,0
2006,32,Acrelandia,0
2006,33,Acrelandia,0
2006,34,Acrelandia,0
2006,35,Acrelandia,0
2006,36,Acrelandia,0
2006,37,Acrelandia,0
2006,38,Acrelandia,0
2006,39,Acrelandia,0
2006,40,Acrelandia,0
2006,41,Acrelandia,0
2006,42,Acrelandia,0
2006,43,Acrelandia,0
2006,44,Acrelandia,0
2006,45,Acrelandia,0
2006,46,Acrelandia,0
2006,47,Acrelandia,0
2006,48,Acrelandia,0
2006,49,Acrelandia,0
2006,50,Acrelandia,0
2006,51,Acrelandia,0
2006,52,Acrelandia,0
2007,1,Acrelandia,0
2007,2,Acrelandia,1
2007,3,Acrelandia,0
2007,4,Acrelandia,1
2007,5,Acrelandia,0
2007,6,Acrelandia,0
2007,7,Acrelandia,0
2007,8,Acrelandia,0
2007,9,Acrelandia,4
2007,10,Acrelandia,0
2007,11,Acrelandia,1
2007,12,Acrelandia,2
2007,13,Acrelandia,0
2007,14,Acrelandia,0
2007,15,Acrelandia,1
2007,16,Acrelandia,3
2007,17,Acrelandia,2
2007,18,Acrelandia,1
2007,19,Acrelandia,1
2007,20,Acrelandia,0
2007,21,Acrelandia,0
2007,22,Acrelandia,0
2007,23,Acrelandia,0
2007,24,Acrelandia,0
2007,25,Acrelandia,0
2007,26,Acrelandia,0
2007,27,Acrelandia,0
2007,28,Acrelandia,0
2007,29,Acrelandia,0
2007,30,Acrelandia,0
2007,31,Acrelandia,0
2007,32,Acrelandia,0
2007,33,Acrelandia,0
2007,34,Acrelandia,0
2007,35,Acrelandia,0
2007,36,Acrelandia,0
2007,37,Acrelandia,0
2007,38,Acrelandia,0
2007,39,Acrelandia,1
2007,40,Acrelandia,0
2007,41,Acrelandia,0
2007,42,Acrelandia,1
2007,43,Acrelandia,1
2007,44,Acrelandia,0
2007,45,Acrelandia,1
2007,46,Acrelandia,0
2007,47,Acrelandia,0
2007,48,Acrelandia,0
2007,49,Acrelandia,0
2007,50,Acrelandia,0
2007,51,Acrelandia,0
2007,52,Acrelandia,0
2008,1,Acrelandia,0
2008,2,Acrelandia,1
2008,3,Acrelandia,0
2008,4,Acrelandia,0
2008,5,Acrelandia,6
2008,6,Acrelandia,5
2008,7,Acrelandia,0
2008,8,Acrelandia,4
2008,9,Acrelandia,1
2008,10,Acrelandia,0
2008,11,Acrelandia,2
2008,12,Acrelandia,0
2008,13,Acrelandia,5
2008,14,Acrelandia,11
2008,15,Acrelandia,7
2008,16,Acrelandia,4
2008,17,Acrelandia,0
2008,18,Acrelandia,0
2008,19,Acrelandia,0
2008,20,Acrelandia,0
2008,21,Acrelandia,2
2008,22,Acrelandia,0
2008,23,Acrelandia,0
2008,24,Acrelandia,0
2008,25,Acrelandia,0
2008,26,Acrelandia,0
2008,27,Acrelandia,0
2008,28,Acrelandia,0
2008,29,Acrelandia,0
2008,30,Acrelandia,0
2008,31,Acrelandia,0
2008,32,Acrelandia,0
2008,33,Acrelandia,0
2008,34,Acrelandia,0
2008,35,Acrelandia,0
2008,36,Acrelandia,0
2008,37,Acrelandia,0
2008,38,Acrelandia,0
2008,39,Acrelandia,0
2008,40,Acrelandia,0
2008,41,Acrelandia,0
2008,42,Acrelandia,0
2008,43,Acrelandia,0
2008,44,Acrelandia,0
2008,45,Acrelandia,0
2008,46,Acrelandia,0
2008,47,Acrelandia,0
2008,48,Acrelandia,0
2008,49,Acrelandia,0
2008,50,Acrelandia,2
2008,51,Acrelandia,0
2008,52,Acrelandia,0
2008,53,Acrelandia,0
2009,1,Acrelandia,1
2009,2,Acrelandia,3
2009,3,Acrelandia,5
2009,4,Acrelandia,4
2009,5,Acrelandia,10
